# Mackerel stock recruitment data
1990  # ybeg First year of ssb and recruitment data
2011  # yend Last year of ssb and recruitment data
0  # recruitment age
12 # plusgroup age
3  # Ropt 1=Ricker, 2=B-H, else=SHS (smooth hockey-stick)
1  # penopt 0=don't constrain SR params, 1=constrain SR params
#   rec     ssb
 489420 1254500
1338900 1181900
2473200 2186600
3646100 2914000
5067500 3535300
1933700 4044200
2091000 3730600
1844500 3142500
3421900 3008000
6432700 2476500
7872100 2312300
8682100 1904300
5231600 1435700
3091000 1325900
3375600 1180100
5354700 1062100
6286400 1089400
6447800 1086300
4735200 1111500
3351000 1322600
1648800 1606600
984130 2274200
720900 2291700
1017600 2106500
1665700 2298000
670560 2466300
219570 2011100
244900 1829400
